,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
776,Serbia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,99.170967,MICS 2019
777,Serbia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,100.0,MICS 2019
778,Serbia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,100.0,MICS 2019
779,Serbia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,100.0,MICS 2019
780,Serbia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,100.0,MICS 2019
781,Serbia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,100.0,MICS 2019
782,Serbia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,99.744392,MICS 2019
783,Serbia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,99.861427,MICS 2019
786,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,74.39608,MICS 2019
787,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,83.131607,MICS 2019
788,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,86.700859,MICS 2019
789,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,92.203613,MICS 2019
790,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,98.111313,MICS 2019
791,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,87.526627,MICS 2019
792,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,86.950996,MICS 2019
793,Sao Tome and Principe,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,87.149773,MICS 2019
796,Suriname,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,67.175453,MICS 2018
797,Suriname,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,82.438072,MICS 2018
798,Suriname,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,90.769051,MICS 2018
799,Suriname,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,95.455887,MICS 2018
800,Suriname,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,98.47493,MICS 2018
801,Suriname,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,76.865097,MICS 2018
802,Suriname,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,88.749489,MICS 2018
803,Suriname,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,85.052254,MICS 2018
806,Eswatini,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,53.520691,MICS 2014
807,Eswatini,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,62.431011,MICS 2014
808,Eswatini,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,70.018982,MICS 2014
809,Eswatini,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,84.357262,MICS 2014
810,Eswatini,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,89.406776,MICS 2014
811,Eswatini,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,66.57,MICS 2014
812,Eswatini,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,85.0476,MICS 2014
813,Eswatini,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,70.351669,MICS 2014
816,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,100.0,MICS 2019-20
817,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,100.0,MICS 2019-20
818,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,100.0,MICS 2019-20
819,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,91.782066,MICS 2019-20
820,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,100.0,MICS 2019-20
821,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,100.0,MICS 2019-20
822,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,98.615173,MICS 2019-20
823,Turks and Caicos Islands,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,98.711311,MICS 2019-20
826,Chad,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,9.2880507,MICS 2019
827,Chad,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,10.48047,MICS 2019
828,Chad,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,18.68784,MICS 2019
829,Chad,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,31.473989,MICS 2019
830,Chad,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,57.344059,MICS 2019
831,Chad,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,19.43433,MICS 2019
832,Chad,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,55.49926,MICS 2019
833,Chad,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,26.965361,MICS 2019
836,Togo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,62.369461,MICS 2017
837,Togo,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,77.262222,MICS 2017
838,Togo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,81.502831,MICS 2017
839,Togo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,86.850021,MICS 2017
840,Togo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,87.882874,MICS 2017
841,Togo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,75.63488,MICS 2017
842,Togo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,85.720428,MICS 2017
843,Togo,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,79.827332,MICS 2017
846,Thailand,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,97.290207,MICS 2019
847,Thailand,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,97.374031,MICS 2019
848,Thailand,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,99.31765,MICS 2019
849,Thailand,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,99.437553,MICS 2019
850,Thailand,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,99.590477,MICS 2019
851,Thailand,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,98.160538,MICS 2019
852,Thailand,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,99.351883,MICS 2019
853,Thailand,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,98.642647,MICS 2019
856,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2017.0,97.795418,DHS 2017
857,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,2017.0,99.39344,DHS 2017
858,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2017.0,99.201553,DHS 2017
859,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2017.0,99.868156,DHS 2017
860,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2017.0,96.326469,DHS 2017
861,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,98.97541,DHS 2017
862,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,96.919548,DHS 2017
863,Tajikistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,98.471497,DHS 2017
866,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,100.0,MICS 2019
867,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,100.0,MICS 2019
868,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,100.0,MICS 2019
869,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,100.0,MICS 2019
870,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,100.0,MICS 2019
871,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,100.0,MICS 2019
872,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,100.0,MICS 2019
873,Turkmenistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,100.0,MICS 2019
876,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,59.867001,DHS 2016
877,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,71.368797,DHS 2016
878,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,78.058823,DHS 2016
879,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,90.01738,DHS 2016
880,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,96.227753,DHS 2016
881,Timor-Leste,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,75.500664,DHS 2016
